               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 131,            0.037312,            0.033448,            0.015591,             0.74338,             0.71052,             0.76008,             0.48953,            0.032067,            0.019347,           0.0077246,             0.00571,             0.00571,             0.00571
                 132,            0.037175,            0.033159,            0.015622,             0.74386,             0.71169,              0.7606,             0.48967,            0.032061,            0.019342,           0.0077161,            0.005677,            0.005677,            0.005677
                 133,            0.037066,            0.033394,            0.015669,             0.74499,             0.71088,              0.7609,             0.48978,            0.032058,            0.019341,           0.0077154,            0.005644,            0.005644,            0.005644
                 134,              0.0369,            0.033157,            0.015146,             0.74559,             0.70988,             0.76111,             0.49011,            0.032053,            0.019339,           0.0077075,            0.005611,            0.005611,            0.005611
                 135,            0.036951,             0.03294,            0.015561,             0.74591,             0.71009,              0.7614,             0.48996,             0.03205,            0.019335,           0.0077028,            0.005578,            0.005578,            0.005578
                 136,            0.037027,            0.032867,            0.015371,             0.74606,             0.70986,             0.76158,             0.49019,            0.032045,            0.019332,           0.0077009,            0.005545,            0.005545,            0.005545
                 137,            0.037132,            0.033282,             0.01521,             0.74727,             0.70906,             0.76187,             0.49018,            0.032037,             0.01933,           0.0076966,            0.005512,            0.005512,            0.005512
                 138,            0.036936,            0.033214,            0.015209,              0.7471,             0.70858,               0.762,             0.49051,             0.03203,            0.019325,           0.0076962,            0.005479,            0.005479,            0.005479
                 139,            0.036916,            0.033137,            0.015258,             0.74492,             0.70989,              0.7619,             0.49093,            0.032024,            0.019323,           0.0076906,            0.005446,            0.005446,            0.005446
                 140,            0.036842,            0.033418,            0.015176,             0.74486,             0.71128,             0.76223,             0.49126,             0.03202,            0.019318,           0.0076799,            0.005413,            0.005413,            0.005413
                 141,             0.03672,            0.032812,            0.014931,             0.74694,             0.71015,             0.76233,             0.49154,            0.032013,            0.019313,           0.0076656,             0.00538,             0.00538,             0.00538
                 142,            0.036986,            0.032864,            0.015297,             0.74421,             0.71257,             0.76276,             0.49211,            0.032008,            0.019309,           0.0076534,            0.005347,            0.005347,            0.005347
                 143,            0.036918,             0.03297,            0.014846,             0.74347,             0.71303,             0.76285,             0.49178,               0.032,            0.019301,           0.0076344,            0.005314,            0.005314,            0.005314
                 144,            0.036769,            0.033185,            0.014717,             0.74338,             0.71288,             0.76267,              0.4918,            0.031992,            0.019301,           0.0076215,            0.005281,            0.005281,            0.005281
                 145,            0.036805,            0.032841,            0.014928,             0.74389,             0.71332,             0.76279,             0.49209,            0.031987,            0.019293,           0.0076105,            0.005248,            0.005248,            0.005248
                 146,            0.036747,            0.032985,              0.0153,             0.74341,             0.71432,             0.76331,              0.4924,            0.031982,            0.019287,           0.0075971,            0.005215,            0.005215,            0.005215
                 147,            0.036847,            0.033166,             0.01504,              0.7456,             0.71264,             0.76353,             0.49248,            0.031977,            0.019282,           0.0075883,            0.005182,            0.005182,            0.005182
                 148,            0.036651,            0.033069,            0.014781,             0.74736,             0.71338,             0.76417,             0.49265,            0.031972,            0.019277,            0.007587,            0.005149,            0.005149,            0.005149
                 149,            0.036406,            0.032684,            0.014998,             0.74626,             0.71346,             0.76423,             0.49296,            0.031966,            0.019267,           0.0075884,            0.005116,            0.005116,            0.005116
                 150,            0.036555,             0.03266,            0.015206,             0.74632,             0.71268,             0.76435,             0.49311,            0.031961,            0.019261,           0.0075814,            0.005083,            0.005083,            0.005083
                 151,            0.036662,            0.032788,            0.014512,             0.74578,             0.71262,             0.76416,             0.49312,            0.031954,             0.01926,           0.0075722,             0.00505,             0.00505,             0.00505
                 152,             0.03657,            0.032809,            0.014543,              0.7464,             0.71393,             0.76453,             0.49329,            0.031949,            0.019253,           0.0075715,            0.005017,            0.005017,            0.005017
                 153,            0.036859,            0.033115,            0.014644,             0.74604,             0.71293,             0.76439,             0.49342,            0.031939,            0.019246,           0.0075656,            0.004984,            0.004984,            0.004984
                 154,            0.036486,            0.033057,            0.014975,              0.7456,             0.71217,             0.76452,             0.49368,             0.03193,            0.019242,           0.0075627,            0.004951,            0.004951,            0.004951
                 155,            0.036605,            0.032954,              0.0144,             0.74459,             0.71302,             0.76478,             0.49387,            0.031923,            0.019236,           0.0075609,            0.004918,            0.004918,            0.004918
                 156,            0.036712,            0.033213,            0.014814,             0.74631,             0.71256,             0.76455,             0.49371,             0.03192,            0.019234,           0.0075645,            0.004885,            0.004885,            0.004885
                 157,            0.036262,            0.032788,            0.014666,             0.74757,             0.71231,             0.76474,             0.49385,            0.031915,            0.019228,           0.0075619,            0.004852,            0.004852,            0.004852
                 158,            0.036338,            0.032985,            0.014419,             0.74757,             0.71232,             0.76482,             0.49426,            0.031913,            0.019221,           0.0075581,            0.004819,            0.004819,            0.004819
                 159,            0.036277,             0.03293,            0.014611,             0.75096,             0.71133,             0.76526,             0.49427,            0.031909,            0.019215,           0.0075482,            0.004786,            0.004786,            0.004786
                 160,            0.036428,            0.032539,             0.01467,             0.75051,             0.71108,             0.76545,             0.49458,            0.031908,             0.01921,           0.0075427,            0.004753,            0.004753,            0.004753
                 161,            0.036405,            0.032887,            0.014373,             0.75007,             0.71125,             0.76556,             0.49466,            0.031907,            0.019204,           0.0075409,             0.00472,             0.00472,             0.00472
                 162,            0.036198,            0.032899,            0.014328,             0.75159,             0.71028,             0.76543,             0.49526,            0.031901,            0.019199,           0.0075399,            0.004687,            0.004687,            0.004687
